описание,dbo:abstract
площадь,dbo:areaTotal
в какой страна,dbo:country
где находиться,dbo:country
как звать мэр,dbo:leader
как звать мэр город,dbo:leader
мэр,dbo:leader
мэр город,dbo:leader
почтовый код,dbo:postalCode
почтовый код город,dbo:postalCode
сайт,foaf:homepage
столица что,dbo:capital
столица какая страна,dbo:capital
столица какое государство,dbo:capital
кто родиться в,dbo:birthPlace
кто родиться,dbo:birthPlace
родиться,dbo:birthPlace
родиться в,dbo:birthPlace
место рождение,dbo:birthPlace
кто умирать в,dbo:deathPlace
кто умирать,dbo:deathPlace
место смерть,dbo:deathPlace
умирать в,dbo:deathPlace
умирать,dbo:deathPlace
экономический регион,dbp:economicRegion
какой экономический регион,dbp:economicRegion
в какой экономический регион находиться,dbp:economicRegion
в какой экономический регион располагаться,dbp:economicRegion
население,dbo:populationTotal
население город,dbo:populationTotal
какой население в,dbo:populationTotal
широта,geo:lat
какая широта у,geo:lat
на какой широта,geo:lat
на какой широта находиться,geo:lat
на какой широта расположиться,geo:lat
долгота,geo:lat
какой долгота у,geo:lat
на какой долгота,geo:lat
на какой долгота находиться,geo:lat
на какой долгота располагаться,geo:lat
широта долгота,geo:geometry
долгота широта,geo:geometry
координата,geo:geometry
на какой широта и долгота находиться,geo:geometry
на какой широта и долгота располагаться,geo:geometry
на какой широта и долгота расположиться,geo:geometry
на какой широта и долгота располагать,geo:geometry
европа город культура,yago:EuropeanCapitalsOfCulture
