буэнос-айрес,аргентина,буэнос-айрес	Buenos_Aires
вивель-дель-рио-мартин,испания,вивель-дель-рио-мартин	Vivel_del_Río_Martín
айдомаджор,италия,айдомаджоре	Aidomaggiore
бассать-романо,италия,бассано-романо	Bassano_Romano
ареццо,италия,ареццо	Arezzo
вальдастильяс,испания,вальдастильяс	Valdastillas
батман,город,турция,батман	Batman,_Turkey
алькар-ли-фузи,италия,алькара-ли-фузи	Alcara_li_Fusi
барделло,италия,барделло	Bardello
альт-вист,оттава,канада,альта-виста	Alta_Vista,_Ottawa
вилькия,литва,вилькия	Vilkija
вальгризанш,италия,вальгризанш	Valgrisenche
бадия-павез,италия,бадия-павезе	Badia_Pavese
альфорка,испания,альфорке	Alforque
агридженто,италия,агридженто	Agrigento
аскурра,бразилия,аскурра	Ascurra
бьяндронно,италия,бьяндронно	Biandronno
агилон,испания,агилон	Aguilón
вронка,польша,вронки	Wronki
виллагранд-стризайль,италия,виллагранде-стризайли	Villagrande_Strisaili
брессанвидо,италия,брессанвидо	Bressanvido
бомонт,техас,соединять штат америка,сша,америка,бомонт	Beaumont,_Texas
баффало-лейк,город,миннесота,соединять штат америка,сша,америка,баффало-лейк	Buffalo_Lake,_Minnesota
валлада-агордин,италия,валлада-агордина	Vallada_Agordina
байло,испания,байло	Bailo,_Spain
бжеский,польша,бжеско	Brzesko
влоцлавек,польша,влоцлавек	Włocławek
блоня,польша,польша,блоне	Błonie
вильялуэнга-де-ла-вега,испания,вильялуэнга-де-ла-вега	Villaluenga_de_la_Vega
африц-ама-зе,австрия,африц-ам-зе	Afritz_am_See
ванцона-кон-сан-карло,италия,ванцоне-кон-сан-карло	Vanzone_con_San_Carlo
вито-д’азио,италия,вито-д’азио	Vito_d'Asio
аццио,италия,аццио	Azzio
вильяльб-де-гуардо,испания,вильяльба-де-гуардо	Villalba_de_Guardo
адамов,район,бланский,чехия,адамов	Adamov_(Blansko_District)
антигуэдад,испания,антигуэдад	Antigüedad
венгрув,польша,венгрув	Węgrów
андретта,италия,андретта	Andretta
ангьярь,италия,ангьяри	Anghiari
ала-дея-сарди,италия,ала-деи-сарди	Alà_dei_Sardi
андать-валтеллин,италия,андало-валтеллино	Andalo_Valtellino
боргомала,италия,боргомале	Borgomale
бузать,италия,бузано	Busano
винден-ама-зе,австрия,винден-ам-зе	Winden_am_See
бонаруйя,иран,бонаруйе	Banaruiyeh
аркуат-скривий,италия,аркуата-скривия	Arquata_Scrivia
ветцикон,швейцария,ветцикон	Wetzikon
вилла-сан-секондо,италия,вилла-сан-секондо	Villa_San_Secondo
бин-касим,пакистан,бин-касим	Bin_Qasim_Town
буденновск,россия,ставропольский край,будённовск	Budyonnovsk
адзельо,италия,адзельо	Azeglio
вилланов-монтелеон,италия,вилланова-монтелеоне	Villanova_Monteleone
бад-зауэрбрунн,австрия,бад-зауэрбрунн	Bad_Sauerbrunn
вайкинг,город,миннесота,соединять штат америка,сша,америка,вайкинг	Viking,_Minnesota
арт-терм,италия,арта-терме	Arta_Terme
бьяндрат,италия,бьяндрате	Biandrate
борбон,италия,борбона	Borbona
бонит,мат-грос-ду-сул,бразилия,бониту	Bonito,_Mato_Grosso_do_Sul
ашби,город,миннесота,соединять штат америка,сша,америка,ашби	Ashby,_Minnesota
ангерн-ан-дер-марх,австрия,ангерн-ан-дер-марх	Angern_an_der_March
балтимор,соединять штат америка,сша,америка,балтимор	Baltimore
арика,чили,арика	Arica
айзоне,италия,айзоне	Aisone
вилла-бискосси,италия,вилла-бискосси	Villa_Biscossi
белый,город,россия,тверская область,белый	Bely,_Tver_Oblast
воттиньяско,италия,воттиньяско	Vottignasco
альбиньязего,италия,альбиньязего	Albignasego
бейкерсфилд,калифорния,соединять штат америка,сша,америка,бейкерсфилд	Bakersfield,_California
аббер,иран,аббер	Ab_Bar
бейт-шемеш,израиль,бейт-шемеш	Beit_Shemesh
абу-салабих,,абу-салабих	Abu_Salabikh
аиджала,индия,аиджал	Aizawl
виноградов,город,украина,виноградов	Vynohradiv
барболес,испания,барболес	Bárboles
вить-родон,испания,вила-родона	Vila-rodona
баакуба,ирак,баакуба	Baqubah
виньегр-де-морание,испания,виньегра-де-моранья	Viñegra_de_Moraña
агуачик,колумбия,агуачика	Aguachica
бртница,город,чехия,бртнице	Brtnice
аквинкум,,аквинкум	Aquincum
волгоград,россия,волгоградский область,волгоград	Volgograd
берберан,испания,берберана	Berberana
вильятурьель,испания,вильятурьель	Villaturiel
вильяфранк-де-кордова,испания,вильяфранка-де-кордова	Villafranca_de_Córdoba
вакри,италия,вакри	Vacri
агур-хиллзать,соединять штат америка,сша,америка,агура-хиллз	Agoura_Hills,_California
бонефро,италия,бонефро	Bonefro
аренс-де-льедо,испания,аренс-де-льедо	Arens_de_Lledó
бергантино,италия,бергантино	Bergantino
вистарино,италия,вистарино	Vistarino
бенн,италия,бенна	Benna,_Piedmont
верхний тур,россия,свердловский область,верхняя тура	Verkhnyaya_Tura
апшеронск,россия,краснодарский край,апшеронск	Apsheronsk
вильяеррерасти,испания,вильяеррерос	Villaherreros
бидзен,,бидзен	Bizen,_Okayama
вилладоссол,италия,вилладоссола	Villadossola
борсо-дель-грапп,италия,борсо-дель-граппа	Borso_del_Grappa
вилла-сан-джованни-ин-туша,италия,вилла-сан-джованни-ин-туша	Villa_San_Giovanni_in_Tuscia
букиттинг,индонезия,букиттинги	Bukittinggi
вильянуэв-де-теб,испания,вильянуэва-де-теба	Villanueva_de_Teba
агидель,россия,башкортостан,агидель	Agidel
вильяррой-де-ла-сьерра,испания,вильярроя-де-ла-сьерра	Villarroya_de_la_Sierra
бурбаген,испания,бурбагена	Burbáguena
аллиста,италия,аллисте	Alliste
большой камень,россия,приморский край,большой камень	Bolshoy_Kamen
аликун-де-ортег,испания,аликун-де-ортега	Alicún_de_Ortega
басок,италия,италия,баски	Baschi
археймар,,археймар	Árheimar
баньоль-ди-сопер,италия,баньоли-ди-сопра	Bagnoli_di_Sopra
балокко,италия,балокко	Balocco
велька-капушан,словакия,вельке-капушаны	Veľké_Kapušany
баабон-де-эсгева,испания,баабон-де-эсгева	Bahabón_de_Esgueva
велька-шен,чехия,вельки-шенов	Velký_Šenov
брион,испания,,брион	Brión
высмежица,польша,высмежице	Wyśmierzyce
барри,город,миннесота,соединять штат америка,сша,америка,барри	Barry,_Minnesota
анкуда,чили,анкуд	Ancud
визать,италия,визано	Visano
варизелла,италия,варизелла	Varisella
беллицци,италия,беллицци	Bellizzi
белиз,город,белиз,белиз	Belize_City
бадолатос,испания,бадолатоса	Badolatosa
вильякиламбре,испания,вильякиламбре	Villaquilambre
бентонвилл,соединять штат америка,сша,америка,бентонвилл	Bentonville,_Arkansas
вильямоль,,вильямоль	Villamol
вилла-сан-пьетро,италия,вилла-сан-пьетро	Villa_San_Pietro
бухарест,румыния,бухарест	Bucharest
