ольба,испания,Ольба	Olba,_Aragon
орхон,монголия,булган,Орхон 	Orkhon,_Bulgan
оливар,чили,посёлок,чили,Оливар 	Olivar
орловский район,россия,посёлок,ростовский область,Орловский район 	Orlovsky_District,_Rostov_Oblast
отейру,португалия,район,браганса,Отейру 	Outeiro_(Bragança)
обервезер,германия,коммуна,Обервезер	Oberweser
оэ,бельгия,бельгия,коммуна,Оэ 	Ohey
опочный,польша,город,Опочно	Opoczno
ойорредондо,испания,Ойорредондо	Hoyorredondo
ольдендорф,германия,коммуна,гольштейн,Ольдендорф 	Oldendorf,_Schleswig-Holstein
ормайстега,испания,населённый пункт,Ормайстеги	Ormaiztegi
отрадный,россия,Отрадный	Otradny,_Samara_Oblast
обда,австрия,Обдах	Obdach
ондарроа,испания,Ондарроа	Ondarroa
олд-оттава-истый,канада,Олд-Оттава-Ист	Old_Ottawa_East
оттеншлаг-они-мюлькрайс,австрия,коммуна,Оттеншлаг-им-Мюлькрайс	Ottenschlag_im_Mühlkreis
охтерзум,германия,коммуна,Охтерзум	Ochtersum
орзинген-ненцинген,германия,община,Орзинген-Ненцинген	Orsingen-Nenzingen
ометепек,мексика,город,Ометепек	Ometepec
орленбах,германия,коммуна,Орленбах	Orlenbach
остроленка,польша,город,Остроленка	Ostrołęka
олье-маринья,португалия,Олью-Маринью	Olho_Marinho
орльяк-де-бар,франция,коммуна,Орльяк-де-Бар	Orliac-de-Bar
остров рузвельт,соединять штат америка,нью-йорк,Остров Рузвельта 	Roosevelt_Island
оффенбург,германия,город,Оффенбург	Offenburg
отопать,греция,остров,Отони	Othonoi
оффлаг,италия,коммуна,Оффлага	Offlaga
ондангва,намибия,город,Ондангва	Ondangwa
оберрасть,германия,коммуна,Оберраден	Oberraden
окенвиль,франция,коммуна,Окенвиль	Auquainville
оровилла,соединять штат америка,калифорния,город,Оровилл 	Oroville,_California
оловить,чехия,город,чехия,Олови 	Oloví
олдершот,великобритания,Олдершот	Aldershot
оливарес,испания,андалусия,населённый пункт,Оливарес 	Olivares,_Spain
огузель,турция,город,Огузели	Oğuzeli
оркахо,испания,муниципалитет,Оркахо	Orcajo
обергрисбах,германия,коммуна,Обергрисбах	Obergriesbach
оломоуц,чехия,город,Оломоуц	Olomouc
ока-гров,соединять штат америка,город,миннесота,Ок-Гров 	Oak_Grove,_Minnesota
ондскот,франция,коммуна,Ондскот	Hondschoote
ормонт,германия,коммуна,Ормонт	Ormont
оттендорф,германия,коммуна,тюрингия,Оттендорф 	Ottendorf,_Thuringia
особлаго,чехия,муниципалитет,Особлага 	Osoblaha
озолниека,латвия,Озолниеки	Ozolnieki
орехов,украина,город,Орехов 	Orikhiv
орловский район,россия,кировский область,город,Орловский район 	Orlovsky_District,_Kirov_Oblast
олдкасл,ирландия,Олдкасл	Oldcastle,_County_Meath
остерхаузен,германия,айслебен,коммуна,Остерхаузен 	Osterhausen
ольгинский район,россия,Ольгинский район	Olginsky_District
оберн,соединять штат америка,кентукки,Оберн 	Auburn,_Kentucky
олевать-суль-тушать,италия,коммуна,Олевано-суль-Тушано	Olevano_sul_Tusciano
орск,россия,город,Орск	Orsk
остерренфельд,германия,коммуна,Остеррёнфельд	Osterrönfeld
оренкль,франция,коммуна,Оренкль	Orincles
орсонья,италия,коммуна,Орсонья	Orsogna
онака,франция,коммуна,Онак	Aunac
о-ньонг,камерун,департамент,О-Ньонг 	Haut-Nyong
оха,россия,город,Оха	Okha,_Russia
опочецкий район,россия,Опочецкий район	Opochetsky_District
олье-д’агуа,бразилия,параиб,Олью-д’Агуа 	Olho_d'Água
одобешть,румыния,город,Одобешти	Odobești
ольсдорф,германия,айфель,коммуна,Ольсдорф 	Olsdorf
ольнуа-ле-валансьен,франция,коммуна,Ольнуа-ле-Валансьен	Aulnoy-lez-Valenciennes
оберхармерсбах,германия,коммуна,Оберхармерсбах	Oberharmersbach
онешть,румыния,город,Онешти	Onești
опава,чехия,район,Опава 	Opava_District
орнон,франция,коммуна,Орнон	Ornon
оржа,франция,коммуна,Орже 	Orgeix
осдорф,германия,коммуна,Осдорф	Osdorf,_Schleswig-Holstein
османвиль,франция,коммуна,Османвиль	Osmanville
оакс-эстейт,австралия,деревня,Оакс-Эстейт	Oaks_Estate,_Australian_Capital_Territory
оутапать,намибия,Оутапи	Outapi
офланс,франция,коммуна,Офланс	Auflance
остерод-ама-харц,германия,город,Остероде-ам-Харц	Osterode_am_Harz
обинья-ан-артуа,франция,коммуна,Обиньи-ан-Артуа	Aubigny-en-Artois
орто,франция,коммуна,Орто 	Orto
оберзульм,германия,посёлок,Оберзульм	Obersulm
о-клэр,соединять штат америка,висконсин,город,О-Клэр 	Eau_Claire,_Wisconsin
ойсенхайм,германия,коммуна,Ойсенхайм	Eußenheim
орайон,соединять штат америка,тауншип,миннесота,Орайон 	Orion_Township,_Olmsted_County,_Minnesota
остин,соединять штат америка,город,техас,Остин 	Austin,_Texas
оффенбах-ан-дер-квайх,германия,коммуна,Оффенбах-ан-дер-Квайх	Offenbach_an_der_Queich
орег,франция,коммуна,Орег	Orègue
октябрьский,россия,посёлок,октябрьский район,пермский край,Октябрьский 	Oktyabrsky,_Oktyabrsky_District,_Perm_Krai
окаванго,намибия,намибия,город,Окаванго 	Kavango_Region
одесский экзархат угкца,украина,Одесский экзархат УГКЦ	Ukrainian_Catholic_Archiepiscopal_Exarchate_of_Odessa
ольдзума,германия,коммуна,Ольдзум	Oldsum
омск,россия,Омск	Omsk
омекур,франция,коммуна,Омекур	Homécourt
остров циглер,россия,Остров Циглера	Ziegler_Island
оризон,бразилия,муниципалитет,парана,Оризона 	Ourizona
одай,япония,посёлок,Одай	Ōdai,_Mie
обервольф,германия,коммуна,Обервольфах	Oberwolfach
оберхаузен-райнхаузен,германия,коммуна,Оберхаузен-Райнхаузен	Oberhausen-Rheinhausen
остров фуругельм,россия,остров,Остров Фуругельма	Furugelm_Island
оконто,соединять штат америка,висконсин,город,Оконто 	Oconto,_Wisconsin
ос-и-костеан,испания,муниципалитет,Ос-и-Костеан	Hoz_y_Costean
оберхарц-ама-броккен,германия,Оберхарц-ам-Броккен	Oberharz_am_Brocken
олива-де-мерида,испания,муниципалитет,Олива-де-Мерида	Oliva_de_Mérida
облученский район,россия,Облученский район	Obluchensky_District
обривать-сюр-варез,франция,коммуна,Обрив-сюр-Варез	Auberives-sur-Varèze
обь,франция,округ дуэ,коммуна,Оби 	Auby
ож-сено-медар,франция,коммуна,Ож-Сен-Медар	Auge-Saint-Médard
оберрит,швейцария,община,санкт-галлен,Оберрит 	Oberriet
обернфельд,германия,коммуна,Обернфельд	Obernfeld
обердорф,швейцария,нидвальден,коммуна,Обердорф 	Oberdorf,_Nidwalden
одрессный,франция,коммуна,Одрессен	Audressein
остерволе,германия,коммуна,Остерволе	Osterwohle
окаяма,япония,префектура,город,Окаяма 	Okayama_Prefecture
ольховка,россия,село,волгоградский область,Ольховка 	Olkhovka,_Volgograd_Oblast
орнет,польша,город,Орнета	Orneta
освенцимский повенок,польша,город,Освенцимский повят	Oświęcim_County
островский район,россия,посёлок,костромской область,Островский район 	Ostrovsky_District,_Kostroma_Oblast
омбур-от,франция,коммуна,Омбур-От	Hombourg-Haut
остин,соединять штат америка,арканзас,Остин 	Austin,_Arkansas
одервиц,германия,коммуна,Одервиц	Oderwitz
овин,франция,коммуна,Овине	Hauviné
орес,испания,муниципалитет,Орес	Orés
остхайм-фора-дер-рен,германия,город,Остхайм-фор-дер-Рён	Ostheim
обтирать,франция,об,коммуна,Обтер 	Aubeterre
отр-ле-ве,франция,коммуна,Отре-ле-Ве	Autrey-le-Vay
орсениго,италия,коммуна,Орсениго	Orsenigo,_Lombardy
омутнинский район,россия,Омутнинский район	Omutninsky_District
отвенный,франция,коммуна,Отвен	Hautevesnes
оберланген,германия,коммуна,Оберланген	Oberlangen
охар,япония,посёлок,Охару	Ōharu,_Aichi
онея,мексика,Оней	Honey_(municipality)
оберлайхтерсбах,германия,коммуна,Оберлайхтерсбах	Oberleichtersbach
ортелл,италия,коммуна,Ортелле	Ortelle
оберлаух,германия,коммуна,Оберлаух	Oberlauch
ольт,франция,населенный пункт,сомма,Ольт 	Ault,_Somme
отопень,румыния,город,Отопень	Otopeni
одинья,франция,коммуна,Одиньи	Audigny
олбануть,соединять штат америка,город,миннесота,Олбани 	Albany,_Minnesota
ои,франция,коммуна,Ои	Ohis
оппертсхаузен,германия,коммуна,Оппертсхаузен	Oppertshausen
отеро-де-эррерасти,испания,Отеро-де-Эррерос	Otero_de_Herreros
одюбон,соединять штат америка,нью-джерси,город,Одюбон 	Audubon,_New_Jersey
оберкайль,германия,коммуна,Оберкайль	Oberkail
онжон,франция,коммуна,Онжон	Onjon
остин,соединять штат америка,город,миннесота,Остин 	Austin,_Minnesota
обинья-о-кен,франция,коммуна,Обиньи-о-Кен	Aubigny-aux-Kaisnes
